Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Mar-21,75-01-17,1,Weeding,None,Waterlogged,High,NA,Live,178,1.37,0,0,0
Mar-21,56-01-01,2,No weeding,Urea,Partial,High,NA,Live,129.5,0.71,0,0,0
Mar-21,50-01-09,3,Weeding,Mixed,Waterlogged,High,NA,Live,177.1,1.24,0,0,0
Mar-21,24-01-03,4,No weeding,TSP,Partial,Partial,NA,Live,191,0.92,0,0,0
Mar-21,28-01-03,5,Weeding,None,Partial,High,NA,Live,176.5,0.83,0,0,0
Mar-21,39-01-22,6,No weeding,Urea,Waterlogged,High,NA,Dead,176.2,1.32,0,0,0
Mar-21,41-01-23,7,Weeding,Mixed,Waterlogged,High,NA,Live,221,0.8,0,0,0
Mar-21,77-01-10,8,No weeding,TSP,Dry,High,NA,Live,97,0.71,0,0,0
Mar-21,09-01-11,9,Weeding,None,Partial,High,NA,Live,177,1.24,0,0,0
Mar-21,05-01-04,10,No weeding,Urea,Waterlogged,High,NA,Live,157,0.5,0,0,0
Mar-21,45-01-01,11,Weeding,Mixed,Waterlogged,High,NA,Live,175.5,1.12,0,0,0
Mar-21,68-01-17,12,No weeding,TSP,Waterlogged,High,NA,Live,176.6,1.18,0,0,0
Mar-21,68-01-22,13,Weeding,None,Partial,High,NA,Live,177.5,1.16,0,0,0
Mar-21,62-01-06,14,No weeding,Urea,Dry,High,NA,Live,175.5,1.29,0,0,0
Mar-21,53-01-09,15,Weeding,Mixed,Partial,High,NA,Live,175,0.67,0,0,0
Mar-21,03-01-04,16,Weeding,TSP,Partial,Partial,NA,Live,187,1.28,0,0,0
Mar-21,09-01-24,17,No weeding,None,Waterlogged,Partial,NA,Live,180.5,1.42,0,0,0
Mar-21,68-01-15,18,Weeding,Urea,Waterlogged,High,NA,Live,154.4,0.35,0,0,0
Mar-21,77-01-01,19,No weeding,Mixed,Partial,Partial,NA,Live,177,0.85,0,0,0
Mar-21,41-01-06,20,Weeding,TSP,Partial,High,NA,Live,176.7,1.26,0,0,0
Mar-21,51-01-11,21,No weeding,None,Dry,High,NA,Live,229.5,1.51,0,0,0
Mar-21,52-01-11,22,Weeding,Urea,Waterlogged,High,NA,Live,208.5,0.75,0,0,0
Mar-21,69-01-09,23,No weeding,Mixed,Waterlogged,High,NA,Live,178,0.95,0,0,0
Mar-21,30-01-07,24,Weeding,TSP,Waterlogged,High,NA,Live,195,1.06,0,0,0
Mar-21,39-01-12,25,No weeding,None,Partial,High,NA,Live,177,0.56,0,0,0
Mar-21,02-01-02,26,Weeding,Urea,Partial,High,NA,Live,233,0.87,0,0,0
Mar-21,39-01-18,27,No weeding,Mixed,Waterlogged,High,NA,Live,161.2,0.75,0,0,0
Mar-21,77-01-19,28,Weeding,TSP,Partial,High,NA,Live,203,0.45,0,0,0
Mar-21,46-01-02,29,No weeding,None,Partial,High,NA,Live,175.3,0.99,0,0,0
Mar-21,68-01-26,30,Weeding,Urea,Dry,High,NA,Live,195,1.29,0,0,0
Mar-21,20-01-30,31,No weeding,Mixed,Partial,Partial,NA,Live,112,0.66,0,0,0
Mar-21,56-01-07,32,No weeding,TSP,Dry/Partial,High,NA,Live,162.5,0.51,0,0,0
Mar-21,43-01-04,33,Weeding,None,Dry,High,NA,Live,169,0.46,0,0,0
Mar-21,78-01-24,34,No weeding,Urea,Partial,High,NA,Live,138,0.76,0,0,0
Mar-21,03-01-24,35,Weeding,Mixed,Partial,High,NA,Live,191,1.16,0,0,0
Mar-21,41-01-01,36,No weeding,TSP,Partial,Partial,NA,Live,176,1.24,0,0,0
Mar-21,09-01-10,37,Weeding,None,Partial,High,NA,Live,176.8,1.36,0,0,0
Mar-21,22-01-01,38,No weeding,Urea,Dry,Partial,NA,Dead,175.5,1.24,0,0,0
Mar-21,02-01-09,39,Weeding,Mixed,Waterlogged,High,NA,Live,232,1.3,0,0,0
Mar-21,20-01-01,40,No weeding,TSP,Waterlogged,High,NA,Live,231,0.72,0,0,0
Mar-21,77-01-17,41,Weeding,None,Waterlogged,High,NA,Live,177,0.9,0,0,0
Mar-21,24-01-07,42,No weeding,Urea,Partial,High,NA,Live,177,0.57,0,0,0
Mar-21,60-01-02,43,Weeding,Mixed,Partial,High,NA,Live,91.6,1.26,0,0,0
Mar-21,20-01-33,44,No weeding,TSP,Dry,High,NA,Live,175.5,0.64,0,0,0
Mar-21,62-01-02,45,Weeding,None,Partial,Low,NA,Live,176.7,1.36,0,0,0
Mar-21,39-01-16,46,No weeding,Urea,Dry,High,NA,Live,175.5,0.91,0,0,0
Mar-21,51-01-13,47,Weeding,Mixed,Waterlogged,Partial,NA,Live,165.5,1.17,0,0,0
Mar-21,33-01-01,48,Weeding,TSP,Partial,Partial,NA,Live,152,0.43,0,0,0
Mar-21,63-01-02,49,No weeding,None,Dry,Low,NA,Live,180.5,0.82,0,0,0
Mar-21,13-01-09,50,No weeding,Urea,Waterlogged,Low,NA,Live,176,1.24,0,0,0
Mar-21,20-01-08,51,No weeding,Mixed,Partial,Low,NA,Live,195,1.5,0,0,0
Mar-21,40-01-13,52,No weeding,TSP,Partial,High,NA,Live,218,0.74,0,0,0
Mar-21,61-01-01,53,No weeding,None,Partial,Partial,NA,Live,175.6,0.76,0,0,0
Mar-21,03-01-08,54,Weeding,Urea,Dry,Partial,NA,Live,216.5,1.3,0,0,0
Mar-21,49-01-13,55,No weeding,Mixed,Partial,Partial,NA,Live,196,0.76,0,0,0
Mar-21,66-01-01,56,Weeding,TSP,Waterlogged,High,NA,Live,143.5,1.1,0,0,0
Mar-21,25-01-02,57,No weeding,None,Partial,Partial,NA,Live,177,1.22,0,0,0
Mar-21,45-01-06,58,Weeding,Urea,Partial,High,NA,Live,179,1.44,0,0,0
Mar-21,51-01-02,59,No weeding,Mixed,Partial,Partial,NA,Live,174.4,0.74,0,0,0
Mar-21,35-01-07,60,Weeding,TSP,Dry,High,NA,Live,184,1.58,0,0,0
Mar-21,50-01-17,61,No weeding,None,Partial,Partial,NA,Live,176,0.68,0,0,0
Mar-21,75-01-19,62,No weeding,Urea,Waterlogged,Low,NA,Live,177.7,0.48,0,0,0
Mar-21,09-01-12,63,No weeding,Mixed,Partial,Low,NA,Live,160.5,0.43,0,0,0
Mar-21,40-01-28,64,No weeding,TSP,Partial,Partial,NA,Live,178,0.85,0,0,0
Mar-21,75-01-07,65,Weeding,None,Partial,High,NA,Live,177.2,1.66,0,0,0
Mar-21,32-01-03,66,No weeding,Urea,Partial,Partial,NA,Live,205,0.5,0,0,0
Mar-21,64-01-02,67,Weeding,Mixed,Waterlogged,High,NA,Live,146.9,0.29,0,0,0
Mar-21,44-01-01,68,No weeding,TSP,Partial,High,NA,Live,175.5,1.09,0,0,0
Mar-21,53-01-06,69,Weeding,None,Dry,High,NA,Live,175,0.91,0,0,0
Mar-21,69-01-10,70,No weeding,Urea,Partial,High,NA,Live,100,0.51,0,0,0
Mar-21,50-01-04,71,Weeding,Mixed,Waterlogged,High,NA,Live,177,1.29,0,0,0
Mar-21,04-01-24,72,No weeding,TSP,Partial,High,NA,Live,176.7,1.15,0,0,0
